Judge/Commissioner Assigned,Date Filed,Location,Case Type,Disposition,Judge/Commissioner At Disposition,case_number
"MORRIS, RAPHAEL ODELL",12/24/2024,Pagedale Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240286704
"MORRIS, RAPHAEL ODELL",12/24/2024,Pagedale Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240286701
"MORRIS, RAPHAEL ODELL",12/24/2024,Pagedale Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,2476-MU00040
"KLAPP, NICOLETTE A.",12/24/2024,St Louis County,Criminal/Infract.- see Charges,Not Disposed,,704462857
"KLAPP, NICOLETTE A.",12/24/2024,St Louis County,Criminal/Infract.- see Charges,Not Disposed,,704429373
"KLAPP, NICOLETTE A.",12/24/2024,St Louis County,Criminal/Infract.- see Charges,Not Disposed,,704358014
"RUDMAN, DOUGLAS B.",12/24/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,24S6-MU03318
"PEYTON, KRISTA S",12/24/2024,St Louis County,AC Landlord Actions (Bulk),Not Disposed,,24SL-AC42031
"ENDICOTT, CELESTE L",12/24/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,24S6-MU03269
"ENDICOTT, CELESTE L",12/24/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,24S6-MU03268
,12/24/2024,St Ann Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,24SANMU00427
"GUST, WILLIAM J.",12/24/2024,St Louis County,PR Independent with Will,Not Disposed,,24SL-PR04403
"LEVY, ELLEN SUE",12/24/2024,St Louis County,Criminal/Infract.- see Charges,Not Disposed,,24SL-CR08171-01
"LASATER, JULIA PUSATERI",12/24/2024,St Louis County,Criminal/Infract.- see Charges,Not Disposed,,24SL-CR08581
"LASATER, JULIA PUSATERI",12/24/2024,St Louis County,Criminal/Infract.- see Charges,Not Disposed,,24SL-CR08586
"KLAPP, NICOLETTE A.",12/24/2024,St Louis County,Criminal/Infract.- see Charges,Not Disposed,,24SL-CR08695
"KLAPP, NICOLETTE A.",12/24/2024,St Louis County,Criminal/Infract.- see Charges,Not Disposed,,24SL-CR08760
"NEWSHAM, JOHN F",12/24/2024,St Louis County,FC Change of Name,Not Disposed,,24SL-DR05196
"GHASEDI, MONDONNA L.",12/24/2024,St Louis County,AC Other Tort,Not Disposed,,24SL-AC41244
"DILLON-AMELUNG, CHASTIDY",12/24/2024,St Louis County,AC Breach of Contract,Not Disposed,,24SL-AC41612
