Judge/Commissioner Assigned,Date Filed,Location,Case Type,Disposition,Judge/Commissioner At Disposition,case_number
"KLAPP, NICOLETTE A.",12/25/2024,St Louis County,Criminal/Infract.- see Charges,Not Disposed,,704464310
"DORSEY, MARY ELIZABETH",12/25/2024,Florissant Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,210236792
"DILLON-AMELUNG, CHASTIDY",12/25/2024,St Louis County,AC Contract/Account (Bulk),Not Disposed,,24SL-AC42072
"DILLON-AMELUNG, CHASTIDY",12/25/2024,St Louis County,AC Contract/Account (Bulk),Not Disposed,,24SL-AC41951
"DILLON-AMELUNG, CHASTIDY",12/25/2024,St Louis County,AC Contract/Account (Bulk),Not Disposed,,24SL-AC41950
"PEYTON, KRISTA S",12/25/2024,St Louis County,AC Landlord Actions (Bulk),Not Disposed,,24SL-AC41692
"PEYTON, KRISTA S",12/25/2024,St Louis County,AC Landlord Actions (Bulk),Not Disposed,,24SL-AC41658
"KLAPP, NICOLETTE A.",12/25/2024,St Louis County,Criminal/Infract.- see Charges,Not Disposed,,24SL-CR08623
"KLAPP, NICOLETTE A.",12/25/2024,St Louis County,Criminal/Infract.- see Charges,Not Disposed,,24SL-CR08640
"KLAPP, NICOLETTE A.",12/25/2024,St Louis County,Criminal/Infract.- see Charges,Not Disposed,,24SL-CR08624
"DORSEY, MARY ELIZABETH",12/25/2024,Florissant Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,210236790
"DORSEY, MARY ELIZABETH",12/25/2024,Florissant Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,210236774
"DORSEY, MARY ELIZABETH",12/25/2024,Florissant Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,210236901
"DORSEY, MARY ELIZABETH",12/25/2024,Florissant Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,210236802
"DORSEY, MARY ELIZABETH",12/25/2024,Florissant Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,210236851
"DORSEY, MARY ELIZABETH",12/25/2024,Florissant Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,210236886
"DORSEY, MARY ELIZABETH",12/25/2024,Florissant Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,210236864
"DORSEY, MARY ELIZABETH",12/25/2024,Florissant Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,210236876
"DORSEY, MARY ELIZABETH",12/25/2024,Florissant Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,210236860
"DORSEY, MARY ELIZABETH",12/25/2024,Florissant Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,210236850
