Judge/Commissioner Assigned,Date Filed,Location,Case Type,Disposition,Judge/Commissioner At Disposition,case_number,Date of Disposition
"DUFFY, DANELLE CARTER",12/26/2024,Moline Acres Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240426418,
"DUFFY, DANELLE CARTER",12/26/2024,Moline Acres Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,240426195,
"DUNNE, ELLEN W",12/26/2024,St Louis County,Criminal/Infract.- see Charges,Not Disposed,,704414765,
"KLAPP, NICOLETTE A.",12/26/2024,St Louis County,Criminal/Infract.- see Charges,Not Disposed,,220480093,
"DUNNE, ELLEN W",12/26/2024,St Louis County,Criminal/Infract.- see Charges,Not Disposed,,704429389,
"RUDMAN, DOUGLAS B.",12/26/2024,St Louis Co Municipal,Municipal/ Ordinance - see Charges,Not Disposed,,24S6-MU03319,
"GUST, WILLIAM J.",12/26/2024,St Louis County,Will Filed Only - Deceased,Probate Ord No Further Process,"GUST, WILLIAM J.",24SL-PR04404,12/26/2024
"DILLON-AMELUNG, CHASTIDY",12/26/2024,St Louis County,AC Contract/Account (Bulk),Not Disposed,,24SL-AC42017,
"DILLON-AMELUNG, CHASTIDY",12/26/2024,St Louis County,AC Contract/Account (Bulk),Not Disposed,,24SL-AC41957,
"PEYTON, KRISTA S",12/26/2024,St Louis County,AC Landlord Actions (Bulk),Not Disposed,,24SL-AC41647,
"PEYTON, KRISTA S",12/26/2024,St Louis County,AC Landlord Actions (Bulk),Not Disposed,,24SL-AC41976,
"DILLON-AMELUNG, CHASTIDY",12/26/2024,St Louis County,AC Landlord Actions (Bulk),Not Disposed,,24SL-AC41945,
"ZELLWEGER, NICOLE SYDNEY",12/26/2024,St Louis County,PR Successor Trustee,Not Disposed,,24SL-PR04415,
"DILLON-AMELUNG, CHASTIDY",12/26/2024,St Louis County,AC Small Claims over $100,Not Disposed,,24SL-SC01117,
"DUNNE, ELLEN W",12/26/2024,St Louis County,Criminal/Infract.- see Charges,Not Disposed,,24SL-CR08636,
"LEVY, ELLEN SUE",12/26/2024,St Louis County,CC Pers Injury-Prod Liab,Not Disposed,,24SL-CC08389,
"CUNNINGHAM, HEATHER RENE",12/26/2024,St Louis County,CC Pers Injury-Prod Liab,Not Disposed,,24SL-CC08226,
"STEWART, RICHARD M",12/26/2024,St Louis County,CC Pers Injury-Prod Liab,Not Disposed,,24SL-CC08296,
"OTT, MARY ELIZABETH",12/26/2024,St Louis County,CC Pers Injury-Prod Liab,Not Disposed,,24SL-CC08295,
"MAY, BRIAN H",12/26/2024,St Louis County,CC Pers Injury-Prod Liab,Not Disposed,,24SL-CC08287,
